areaCode,areaName,areaType,date,cumDeaths28DaysByPublishDate
E07000111,Sevenoaks,ltla,2021-07-05,254
E07000111,Sevenoaks,ltla,2021-07-04,254
E07000111,Sevenoaks,ltla,2021-07-03,254
E07000111,Sevenoaks,ltla,2021-07-02,254
E07000111,Sevenoaks,ltla,2021-07-01,254
E07000111,Sevenoaks,ltla,2021-06-30,254
E07000111,Sevenoaks,ltla,2021-06-29,254
E07000111,Sevenoaks,ltla,2021-06-28,254
E07000111,Sevenoaks,ltla,2021-06-27,254
E07000111,Sevenoaks,ltla,2021-06-26,254
E07000111,Sevenoaks,ltla,2021-06-25,254
E07000111,Sevenoaks,ltla,2021-06-24,254
E07000111,Sevenoaks,ltla,2021-06-23,254
E07000111,Sevenoaks,ltla,2021-06-22,254
E07000111,Sevenoaks,ltla,2021-06-21,254
E07000111,Sevenoaks,ltla,2021-06-20,254
E07000111,Sevenoaks,ltla,2021-06-19,254
E07000111,Sevenoaks,ltla,2021-06-18,254
E07000111,Sevenoaks,ltla,2021-06-17,254
E07000111,Sevenoaks,ltla,2021-06-16,254
E07000111,Sevenoaks,ltla,2021-06-15,248
E07000111,Sevenoaks,ltla,2021-06-14,248
E07000111,Sevenoaks,ltla,2021-06-13,248
E07000111,Sevenoaks,ltla,2021-06-12,248
E07000111,Sevenoaks,ltla,2021-06-11,248
E07000111,Sevenoaks,ltla,2021-06-10,248
E07000111,Sevenoaks,ltla,2021-06-09,248
E07000111,Sevenoaks,ltla,2021-06-08,248
E07000111,Sevenoaks,ltla,2021-06-07,248
E07000111,Sevenoaks,ltla,2021-06-06,248
E07000111,Sevenoaks,ltla,2021-06-05,248
E07000111,Sevenoaks,ltla,2021-06-04,248
E07000111,Sevenoaks,ltla,2021-06-03,248
E07000111,Sevenoaks,ltla,2021-06-02,248
E07000111,Sevenoaks,ltla,2021-06-01,248
E07000111,Sevenoaks,ltla,2021-05-31,248
E07000111,Sevenoaks,ltla,2021-05-30,248
E07000111,Sevenoaks,ltla,2021-05-29,248
E07000111,Sevenoaks,ltla,2021-05-28,248
E07000111,Sevenoaks,ltla,2021-05-27,248
E07000111,Sevenoaks,ltla,2021-05-26,248
E07000111,Sevenoaks,ltla,2021-05-25,248
E07000111,Sevenoaks,ltla,2021-05-24,248
E07000111,Sevenoaks,ltla,2021-05-23,248
E07000111,Sevenoaks,ltla,2021-05-22,248
E07000111,Sevenoaks,ltla,2021-05-21,248
E07000111,Sevenoaks,ltla,2021-05-20,248
E07000111,Sevenoaks,ltla,2021-05-19,248
E07000111,Sevenoaks,ltla,2021-05-18,248
E07000111,Sevenoaks,ltla,2021-05-17,248
E07000111,Sevenoaks,ltla,2021-05-16,248
E07000111,Sevenoaks,ltla,2021-05-15,248
E07000111,Sevenoaks,ltla,2021-05-14,248
E07000111,Sevenoaks,ltla,2021-05-13,248
E07000111,Sevenoaks,ltla,2021-05-12,248
E07000111,Sevenoaks,ltla,2021-05-11,248
E07000111,Sevenoaks,ltla,2021-05-10,248
E07000111,Sevenoaks,ltla,2021-05-09,248
E07000111,Sevenoaks,ltla,2021-05-08,248
E07000111,Sevenoaks,ltla,2021-05-07,248
E07000111,Sevenoaks,ltla,2021-05-06,248
E07000111,Sevenoaks,ltla,2021-05-05,248
E07000111,Sevenoaks,ltla,2021-05-04,248
E07000111,Sevenoaks,ltla,2021-05-03,248
