Date,GBPUSD=X,EURUSD=X
2020-06-04,1.2575136423110962,1.1235954761505127
2020-06-05,1.2609069347381592,1.1337867975234985
2020-06-08,1.2725722789764404,1.1319515705108643
2020-06-09,1.2735283374786377,1.1305567026138306
2020-06-10,1.2711325883865356,1.1332215070724487
2020-06-11,1.2710679769515991,1.1365444660186768
2020-06-12,1.257703423500061,1.1288082599639893
2020-06-15,1.2508755922317505,1.1252011060714722
2020-06-16,1.2637752294540405,1.1337740421295166
2020-06-17,1.258510708808899,1.1265701055526733
2020-06-18,1.2552721500396729,1.1242902278900146
2020-06-19,1.2426837682724,1.1211000680923462
2020-06-22,1.234811782836914,1.1177555322647095
2020-06-23,1.250156283378601,1.1279679536819458
2020-06-24,1.2524893283843994,1.1312345266342163
2020-06-25,1.2412954568862915,1.1250872611999512
2020-06-26,1.2425447702407837,1.1222084760665894
2020-06-29,1.2342174053192139,1.1225864887237549
2020-06-30,1.2310571670532227,1.1247202157974243
2020-07-01,1.2389271259307861,1.1235954761505127
2020-07-02,1.2464786767959595,1.1251378059387207
2020-07-03,1.2466403245925903,1.1237848997116089
2020-07-06,1.247551679611206,1.1247202157974243
2020-07-07,1.249547004699707,1.1312856674194336
2020-07-08,1.2542802095413208,1.1275228261947632
2020-07-09,1.2613521814346313,1.1339154243469238
2020-07-10,1.2605094909667969,1.1287955045700073
2020-07-13,1.2627506256103516,1.1310042142868042
2020-07-14,1.255177617073059,1.134549617767334
2020-07-15,1.25692880153656,1.1410704851150513
2020-07-16,1.2591001987457275,1.1417193412780762
2020-07-17,1.2559500932693481,1.139211654663086
2020-07-20,1.2571184635162354,1.1442956924438477
2020-07-21,1.266175389289856,1.1458691358566284
2020-07-22,1.2730745077133179,1.15340256690979
2020-07-23,1.2729934453964233,1.1568717956542969
2020-07-24,1.2730745077133179,1.1596084833145142
2020-07-27,1.2795906066894531,1.1652567386627197
2020-07-28,1.2889753580093384,1.1769275665283203
2020-07-29,1.292373776435852,1.171879529953003
2020-07-30,1.298246145248413,1.1782865524291992
2020-07-31,1.311785101890564,1.1872254610061646
2020-08-03,1.3101695775985718,1.1782310009002686
2020-08-04,1.3078734874725342,1.1763322353363037
2020-08-05,1.3086093664169312,1.181544303894043
2020-08-06,1.3126804828643799,1.187281847000122
2020-08-07,1.3138015270233154,1.1876484155654907
2020-08-10,1.3052273988723755,1.1782727241516113
2020-08-11,1.3077194690704346,1.1737778186798096
2020-08-12,1.3050740957260132,1.1736538410186768
2020-08-13,1.3048017024993896,1.179380178451538
2020-08-14,1.3070528507232666,1.1816558837890625
2020-08-17,1.3107001781463623,1.1852554082870483
2020-08-18,1.3107877969741821,1.1876484155654907
2020-08-19,1.325398564338684,1.1947859525680542
2020-08-20,1.311079978942871,1.1843500137329102
2020-08-21,1.3220343589782715,1.1873664855957031
2020-08-24,1.3094146251678467,1.1798018217086792
2020-08-25,1.307138204574585,1.1794538497924805
2020-08-26,1.3152183294296265,1.183501958847046
2020-08-27,1.3219819068908691,1.1842728853225708
